refno,tag,unit,fluid,seq,spec,pid,strlvl,cnote,insulation
=17384/5059,VO-HY-01606,VO,HY,01606,BA3W,VO-00020-016-1,unset,unset,NT
=17384/5064,VO-HY-01702,VO,HY,01702,BA3W,VO-00020-017-1,unset,unset,TE
=17384/5069,VO-HY-01703,VO,HY,01703,DA3W,VO-00020-017-1,unset,unset,PP
=17384/5074,VO-HY-01704,VO,HY,01704,DA3W,VO-00020-017-1,unset,unset,PP
=17384/5079,VO-HY-01708,VO,HY,01708,DA3W,VO-00020-017-1,unset,unset,PP
=17384/5084,VO-HY-01709,VO,HY,01709,DA5H,VO-00020-017-1,unset,unset,PP
=17384/5089,VO-HY-01710,VO,HY,01710,DA5H,VO-00020-017-1,unset,unset,PP
=17384/5094,VO-HY-01711,VO,HY,01711,DA3W,VO-00020-017-1,unset,unset,PP
=17384/5099,VO-HY-01712,VO,HY,01712,DA3W,VO-00020-017-1,unset,unset,PP
=17384/5104,VO-HY-01801,VO,HY,01801,DA3W,VO-00020-018-1,unset,unset,PP
=17384/5109,VO-HY-01802,VO,HY,01802,DA3W,VO-00020-018-1,unset,unset,TL
=17384/5114,VO-HY-02101,VO,HY,02101,DA5H,VO-00020-021-1,unset,unset,PP
=17384/5119,VO-HY-02102,VO,HY,02102,DA5H,VO-00020-021-1,unset,unset,PP
=17384/5124,VO-HY-02103,VO,HY,02103,DA5H,VO-00020-021-1,unset,unset,PP
=17384/5129,VO-HY-02104,VO,HY,02104,DL3WH,VO-00020-021-1,unset,unset,PP
=17384/5134,VO-IA-05001,VO,IA,05001,ACA,VO-00020-050-1,unset,unset,NT
=17384/5139,VO-IA-05002,VO,IA,05002,ACA,VO-00020-050-1,unset,unset,NT
=17384/5144,VO-IA-05201,VO,IA,05201,ACA,VO-00020-052-1,unset,unset,NT
=17384/5149,VO-IA-05202,VO,IA,05202,ACA,VO-00020-052-1,unset,unset,NT
=17384/5154,VO-IA-10001,VO,IA,10001,ACA,VO-00030-100-1,unset,unset,NT
=17384/5159,VO-IBW-14001,VO,IBW,14001,DA3,VO-00030-140-1,unset,unset,HC
=17384/5164,VO-IL-01301,VO,IL,01301,DJA,VO-00020-013-1,unset,unset,NT
=17384/5169,VO-IL-02901,VO,IL,02901,AJA,VO-00020-029-1,unset,unset,PP
